"Current build","Текущая сборка"
"<< Back","<< Назад"
"<No active skills>",<Нет активных умений>
About,О программе
"Update Ready",Обновление готово
"Save Changes",Сохранить изменения
"This build has unsaved changes.","Есть несохранённые изменения."
"Do you want to save them now?",Хотите сохранить сейчас?
"Don't Save",Не сохранено
"Build Sharing","Поделиться сборкой"
"Note: this code can be very long; you can use 'Share with Pastebin' to shrink it.","Примечание: этот код может быть очень длинным; вы можете использовать 'Поделиться через Pastebin', чтобы уменьшить его."
Calcs,Расчёты
"Character Import",Импортировать персонажа
"Character import status: Idle","Статус импорта: Ожидание"
"Character import status: Account name is incorrect.","Статус импорта: Некорректное имя аккаунта"
"Character import status: Account profile is private.","Статус импорта: Приватный аккаунт"
"Note: if the account name contains non-ASCII characters then it must be URL encoded first.","Примечание. Если имя учетной записи содержит символы, отличные от ASCII, то оно должно быть предварительно закодировано в URL-адресе."
"Choose character to import data from:",Выберете персонажа для импорта:
All,Все
"Character import status: Retrieving character list...","Статус импорта: Получение списка персонажей..."
"Tip: After you finish importing a character, make sure you update the bandit choices,","Совет: после того, как вы закончите импортировать персонажа, обязательно обновите выбор бандитов,"
"as these cannot be imported.","так как они не могут быть импортированы."
"Character import status: Character list successfully retrieved.","Статус импорта: Список персонажей успешно получен."
"Character import status: Retrieving character items...","Статус импорта: Получение предметов персонажа..."
"Character import status: Items and skills successfully imported.","Статус импорта: Предметы и навыки успешно импортированы."
"Character import status: Retrieving character passive tree...","Статус импорта: Получение дерева пассивных навыков персонажа..."
"Character import status: Passive tree and jewels successfully imported.","Статус импорта: Дерево пассивных навыков и самоцветы успешно импортированы."
"Passive Tree and Jewels",Дерево пассивных навыков и самоцветы
"Delete jewels:",Удалить самоцветы:
"Delete all existing jewels when importing.",Удалить все существующие самоцветы при импорте.
"Items and Skills",Предметы и умения
League:,Лига:
"Delete equipment:",Удалить снаряжение:
"Delete all equipped items when importing.",Удалить все снаряженные предметы при импорте.
"Delete skills:",Удалить умения:
"Delete all existing skills when importing.",Удалить все существующие умения при импорте.
"Importing the passive tree will overwrite your current tree.",Импорт дерева пассивных навыков перезапишет ваше текущее дерево.
"Check for Update",Проверить обновления
Checking...,Проверяю...
"Update check failed!",Проверка обновления провалена!
"Couldn't download version manifest.",Не могу скачать манифест версии.
"Reason: Timeout was reached","Причина: Превышено время ожидания"
